Clave,,,Descripción,,,,,Precio U.,Exis,Total 
L001,,,17 ALFA-HIDROXIPROGESTERONA SERICA,,,,,$400.00,0,$0.00
7.50222E+12,,,ABATELENGUAS  AMBIDERM PQTE C/25 PZS,,,,,$7.08,0,$0.00
7.50222E+12,,,ABATELENGUAS ( AMBIDERM ) C/100,,,,,$32.41,0,$0.00
7.50222E+12,,,ABATELENGUAS (AMBIDERM) C/500,,,,,$121.38,0,$0.00
1.75022E+13,,,ABATELENGUAS AMBIDERM C/20PAQUETES,,,,,$136.30,0,$0.00
7.50602E+12,,,ABATELENGUAS DE MADERA (SENSI MEDICAL),,,,,$18.75,0,$0.00
1.75013E+13,,,ABATELENGUAS PROTEC BOLSA CON 20 PAQ,,,,,$170.67,0,$0.00
66823,,,AC ANTI ANTIGENO CENTRAL DE HEPATITIS A (SCREENING) IgM,,,,,$350.00,0,$0.00
2,,,AC ANTI ANTIGENO CENTRAL DE HEPATITIS A IgM,,,,,$345.00,0,$0.00
66825,,,AC ANTI ANTIGENO CENTRAL DE HEPATITIS B IgG,,,,,$345.00,0,$0.00
L025,,,AC ANTI CARDIOLIPINAS IgG,,,,,$350.00,0,$0.00
L026,,,AC ANTI CARDIOLIPINAS IgM,,,,,$350.00,0,$0.00
28,,,AC ANTI CHLAMYDIA TRACHOMATIS IgG,,,,,$360.00,0,$0.00
29,,,AC ANTI CHLAMYDIA TRACHOMATIS IgM,,,,,$360.00,0,$0.00
41,,,AC ANTI FOSFOLIPIDOS IgM,,,,,$380.00,0,$0.00
L002,,,AC ANTI VIH 1 Y 2 / ANTIGENO P24,,,,,$300.00,0,$0.00
45,,,AC IGG HERPES EN SUERO,,,,,$330.00,0,$0.00
788,,,AC. ANTI Chlamydia trachomatis IgA/IgG/IgM,,,,,$900.00,0,$0.00
L022,,,Ac. Anti Peptido Ciclico Citrulinado IgG,,,,,$650.00,0,$0.00
9999-9,,,Ac. Anti-Hepatitis B core IgG,,,,,$560.00,0,$0.00
46,,,AC. ANTI-HERPES SIMPLEX II IGM,,,,,$330.00,0,$0.00
553,,,AC. ANTIRECEPTORES DE TSH (TRAb),,,,,"$1,400.00",0,$0.00
7.50113E+12,,,ACEITE DE GERMEN DE TRIGO /  LECITINA DE SOYA /  VITAMINAS / MINERALES ( GELCAVIT 9m) CAPSULAS 1.59G C/U,,,,,$52.33,0,$0.00
7.50201E+12,,,ACEITE DE SOYA / CARBONATO DE CALCIO / HIERRO / MULTIVITAMINICO ( SOLOTARE 9 M ) CAPS 1200G C/U C/30,,,,,$84.18,0,$0.00
7.50223E+12,,,ACEMETACINA LP ( RASLACOF-X)  CAP 90MG C/14,,,,,$54.39,0,$0.00
7.50221E+12,,,ACETILCISTEINA ( LYSOMUCIL ) TAB 600MG C/20,,,,,$228.78,0,$0.00
7.50126E+12,,,ACETILCISTEINA ( MURREOLAK ) C/10 TAB EFE,,,,,$129.41,0,$0.00
7.50222E+12,,,ACETILCISTEÍNA 600 MG ( ACC ) TABLETA  EFERVECENTES,,,,,$244.94,0,$0.00
7.502E+12,,,ACETONIDO DE FLUOCINOLONA / CLIOQUINOL ( CORTILONA COMP ) CREMA 0.01G/3.00G/100G TBO 30GR,,,,,$41.09,0,$0.00
7.50175E+12,,,"ACETONIDO DE FLUOCINOLONA / METRONIDAZOL / NISTATINA ( ACENIL ) OVULOS 100,000U C/10",,,,,$45.92,0,$0.00
7.50221E+12,,,ACETONIDO DE FLUOCINOLONA/METRONIDAZOL/NISTATINA OVULOS ( LOEFFLER ) OVULOS C/10,,,,,$49.04,0,$0.00
7.85119E+11,,,ACICLOVIR ( LESACLOR ) CREMA 5% TUBO C/5 G,,,,,$16.99,0,$0.00
7.85119E+11,,,ACICLOVIR ( LESACLOR ) SUSPENSION 200MG / 5ML C/125ML,,,,,$42.63,4,$170.52
7.85121E+11,,,ACICLOVIR ( LESACLOR ) TAB 400MG C/35,,,,,$72.49,5,$362.45
7.50135E+12,,,ACICLOVIR (AMSA) TABLETAS 400 MG C/35,,,,,$67.02,0,$0.00
7.50184E+12,,,ACICLOVIR CREMA 0.5% (VIRESTAT),,,,,$20.46,0,$0.00
7.50109E+12,,,ACIDO  ASCORBICO FOLICO VIT E B12( AUTRIN 600 ) TABLETAS,,,,,$455.83,0,$0.00
7.502E+12,,,ÁCIDO ACETILSALICÍLICO ( ASPITAK-P ) TAB 100MG c/30,,,,,$19.76,10,$197.60
7.50183E+12,,,ACIDO ACETILSALICILICO ( MIDOLEN ) TAB 500MG C/30,,,,,$22.15,0,$0.00
75017125,,,ACIDO ACETILSALICILICO (ANTACSAL) TAB 500 MG,,,,,$8.62,10,$86.20
7.50223E+12,,,ACIDO ACETILSALICILICO (PRASRAAM) 100 MG C/28 TAB,,,,,$26.32,0,$0.00
7.50135E+12,,,ACIDO ALENDRONICO ( AMSA ) 70MG C/4 TAB.,,,,,$27.76,5,$138.80
7.50201E+12,,,ACIDO ASCORBICO ( ANIMALIN ) VITAMINA C INFANTIL 75 GOMITAS,,,,,$46.32,3,$138.96
7.50318E+12,,,ACIDO ASCORBICO ( C-KIDS ) TABLETA MASTICABLE 800MG C/30,,,,,$43.22,0,$0.00
7.50302E+12,,,ACIDO ASCORBICO ( C-VYM ) 300MG CAJA C/10 SOBRES DE 9.0g C/U,,,,,$79.09,3,$237.27
7.50302E+12,,,"ACIDO ASCORBICO ( C-VYM ) TABLETAS MASTICABLES 300MG, 200MG. C/30",,,,,$59.98,5,$299.90
7.50302E+12,,,"ACIDO ASCORBICO ( C-VYM CERO AZUCAR )  SOBRES 300MG, 200MG. C/10 SOBRES DE 9.0g c/u",,,,,$78.40,9,$705.60
7.50301E+12,,,ACIDO ASCORBICO ( DANI-C ) VITAMINA C TABLETAS INFANTIL 100MG,,,,,$27.57,0,$0.00
7.50148E+12,,,ACIDO ASCORBICO (VITAE ) TABLETA 100.70 MG C/90,,,,,$59.55,0,$0.00
7.50226E+12,,,ACIDO ASCORBICO (XTRA C) VITAMINA C C/50 GOMITAS,,,,,$74.55,0,$0.00
L000,,,ACIDO FOLICO,,,,,$270.00,0,$0.00
7.50148E+12,,,ACIDO FOLICO / DHA ( VITAFOLE ) TABLETA 180MG C/90,,,,,$14.71,8,$117.68
7.50201E+12,,,ACIDO FUSIDICO / BETAMETASONA ( KURTOSIL ) CREMA 20MG-1MG TUBO C/15G,,,,,$60.09,3,$180.27
7.50108E+12,,,ACIDO MEFENAMICO ( NAMIFEN ) TABLETA 500 MG C/20,,,,,$22.26,0,$0.00
L003,,,ACIDO URICO,,,,,$40.00,0,$0.00
L005,,,ACIDO URICO EN ORINA DE 24 HRS,,,,,$80.00,0,$0.00
L004,,,ACIDO VALPROICO,,,,,$320.00,0,$0.00
L007,,,ACIDO VANILMANDELICO EN ORINA 24HRS,,,,,$510.00,0,$0.00
7.50103E+12,,,ADEMETIONINA ( SAMYR ) 500 MG TABLETA,,,,,"$1,622.64",0,$0.00
7.50053E+12,,,AGUA 1 LITRO,,,,,$4.09,0,$0.00
7.50053E+12,,,AGUA 500ML,,,,,$2.13,0,$0.00
7.50053E+12,,,AGUA ALCALINA 1 LTO,,,,,$15.00,0,$0.00
7.58104E+11,,,AGUA BONAFONT 500ML,,,,,$3.00,0,$0.00
210498,,,AGUA DESTILADA 20 LTS,,,,,$311.81,0,$0.00
7.50113E+12,,,AGUA INYECTABLE 500 ML,,,,,$40.47,0,$0.00
7.50105E+12,,,AGUA INYECTABLE ALPHA (KABIPAC) SOLUCION 500,,,,,$17.87,0,$0.00
SL04-06,,,AGUA INYECTABLE AMPOLLETA 5ML PISA,,,,,$7.15,0,$0.00
7.50105E+12,,,AGUA OXIGENADA,,,,,$10.51,0,$0.00
7.50105E+12,,,AGUA OXIGENADA,,,,,$10.00,18,$180.00
7.50105E+12,,,AGUA OXIGENADA,,,,,$18.46,5,$92.30
7.59684E+11,,,AGUA OXIGENADA ( JALOMA )SOL AL 3% C/112ML,,,,,$6.74,0,$0.00
7.59684E+11,,,AGUA OXIGENADA ( JALOMA )SOL AL 3% C/224ML,,,,,$14.72,0,$0.00
7.50105E+12,,,AGUA OXIGENADA 2.5 A 3.5%  100ML,,,,,$6.39,0,$0.00
79684315053,,,AGUA OXIGENADA 56 ML (JALOMA) SOL AL 3%,,,,,$6.12,0,$0.00
7.59684E+11,,,AGUA OXIGENADA 56 ML JALOMA,,,,,$5.28,0,$0.00
7.50602E+12,,,AGUJA HIPODERMICA 18G X 32 MM (ROSA),,,,,$0.65,2200,"$1,430.00"
7.50602E+12,,,AGUJA HIPODERMICA 20G X 38 MM,,,,,$0.58,0,$0.00
7.50602E+12,,,AGUJA HIPODERMICA 21 X 32 MM,,,,,$0.59,0,$0.00
